paper_id,region_label,first_author,year,doi,claim_sign,footprint_polygons,stated_study_area,footprint_note
2,Arabian,Petra Döll,2014,10.1002/2014wr015595,depleting,Northcentral Mega Aquifer System (Mega Aquifer System); Northern Mega Aquifer System (Mega Aquifer System); Southcentral Mega Aquifer System (Mega Aquifer System),"Global groundwater-depletion assessment, including Saudi Arabia and other Arabian Peninsula countries.","PDF pp. 1, 10, Table 1. These are Arabian regional components only. The stored 113 km3/yr claim is a GLOBAL WaterGAP estimate for 2000-2009, not a GRACE trend for any listed polygon in 2003-2009. Do not score that quotation as a regional claim without a region-specific estimate. Saudi borders also cut across the aquifer units. DOI duplicate of 134."
9,Arabian,Othman Fallatah,2017,10.1002/hyp.11285,depleting,Northern Mega Aquifer System (Mega Aquifer System); Northcentral Mega Aquifer System (Mega Aquifer System),"Saq transboundary aquifer system in northwestern/northern Saudi Arabia and Jordan, approximately 560,000 km2.","PDF pp. 2-3, Fig. 1. Partial-overlap proxies: the Saq polygon extends far west into Jordan and western Saudi Arabia and is not either Mega aquifer unit or their union. Retain only their Saq-overlapping parts for an exact test; no Southcentral Mega assignment. Both TWS and GWS are reported. Full-unit signs cannot refute the Saq-wide estimate."
10,Arabian,Ahmed Mohamed,2022,10.3389/feart.2022.873352,depleting,Northcentral Mega Aquifer System (Mega Aquifer System); Northern Mega Aquifer System (Mega Aquifer System); Southcentral Mega Aquifer System (Mega Aquifer System),"Saudi Arabia as a whole, with a separate analysis of the Saq aquifer.","PDF pp. 1-2 and Results. Country-wide GWS claim, not three independent aquifer claims; listed units provide only partial national coverage and require clipping to Saudi Arabia. The quoted -6.05 mm/yr concerns Period II, April 2006-July 2016, NOT the full April 2002-July 2016 registry window. Separate Saq and country estimates."
18,Arabian,Hussein A. Mohasseb,2024,10.3390/rs16081381,depleting,Northcentral Mega Aquifer System (Mega Aquifer System); Northern Mega Aquifer System (Mega Aquifer System); Southcentral Mega Aquifer System (Mega Aquifer System),"The entire Arabian Peninsula, including Saudi Arabia, Yemen, Oman, UAE, Bahrain, Kuwait and Qatar.","PDF pp. 1, 4, section 2.1 and Fig. 2. Peninsula-wide GWS estimate. These three aquifer units cover only part of that area, and the Northern Mega polygon extends beyond the peninsula into Iraq. Clip to the source footprint and combine areas; do not use the worst individual polygon as the peninsula verdict."
19,Arabian,Gholamreza Joodaki,2014,"",depleting,"","Thesis with a Middle East analysis divided into Iran, Iraq, Syria, eastern Turkey, northern/southern Saudi Arabia and the area west of the Caspian Sea; the stored claim is for Iran.","Thesis PDF p. 4 (abstract). The quoted 25 +/- 6 Gt/yr groundwater loss is explicitly IRAN, which has no polygon on this sheet. No polygon assigned: exclude this claim from cohort risk. Saudi Arabia is a different modeled subregion and cannot inherit the Iran rate. Other thesis applications concern Greenland and the Nordic Seas."
29,Arabian,Yuhao Xiong,2025,10.1029/2024wr039837,depleting,Northcentral Mega Aquifer System (Mega Aquifer System); Northern Mega Aquifer System (Mega Aquifer System); Southcentral Mega Aquifer System (Mega Aquifer System),"Middle East, with separate national TWS estimates for Saudi Arabia, Iraq and Iran and adjacent sea corrections.","PDF pp. 1, 3, Fig. 1. Listed units overlap the Saudi/Iraqi portion only; Iran has no listed polygon. These national TWS rates must remain separate and are not groundwater-only rates. Country masks differ from aquifer masks; no individual-polygon worst risk can stand for the three-country claim. ICA forward modeling is an additional method beyond simple recipe matching."
30,Arabian,Nureldin A. A. Gido,2020,"",no-sign,"","Lithosphere studies in Fennoscandia, northern permafrost regions, Sudan, and a Moho application covering East Africa, Egypt, Congo and Saudi Arabia.","Thesis abstract, PDF pp. 5-6. The Saudi Arabia mention belongs to the seismic/gravity Moho study, not a regional GRACE water-storage claim. No hydrological footprint to match in the Arabian cohort; no-sign and excluded from directional risk."
87,Guarani,Jianli Chen,2010,10.1029/2010jd014689,depleting,Central Parana Basin and Torres Syncline (Guarani Aquifer System); Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),"La Plata drainage basin; the stored deficit refers specifically to the lower La Plata drought area, mainly eastern Argentina and Uruguay.","PDF pp. 3-5, Figs. 2-3. Southern Guarani units overlap only part of the lower-La-Plata contour; both extend outside it. Northern Guarani is not the footprint of the loss claim. The ~12 cm value is a 2009 TWS deficit relative to a seven-year mean, not a full-window groundwater slope. Requires contour clipping and the same anomaly statistic."
89,Guarani,Annamária Kiss,2016,10.13168/agg.2016.0035,no-sign,Central Parana Basin and Torres Syncline (Guarani Aquifer System); Northern Guarani Aquifer (Guarani Aquifer System); Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),"La Plata basin and river-gauge sites within it, for seasonal hydrological comparisons.","PDF p. 1, abstract. All three listed Guarani components are relevant to the broader basin, but their union is not the whole drainage basin or the gauge footprints. Seasonal timing/amplitude validation, no directional storage claim. Do not feed risk."
90,Guarani,Julia Pfeffer,2022,10.5194/egusphere-2022-1032,no-sign,Central Parana Basin and Torres Syncline (Guarani Aquifer System); Northern Guarani Aquifer (Guarani Aquifer System); Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),Global land-water-storage comparisons; the regional discussion includes the Parana River basin in South America.,"Global-methods preprint, PDF pp. 7-8. Listed polygons represent the Guarani/Parana part of this regional record, not a delineated paper-specific aquifer mask. No-sign: the quoted inter-product differences do not assert depletion or recovery. No directional risk."
91,Guarani,Vanessa da Conceição Osório,2021,10.1590/2317-4889202120200079,recovering,Central Parana Basin and Torres Syncline (Guarani Aquifer System); Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),"Southern Guarani margin: 49.9-67.2 W, 26.52-33.22 S, with an east-west profile at 29.72 S from 67 to 50.5 W.","PDF pp. 2-3, Fig. 1. Both southern units intersect the calculation box/profile; Northern Guarani does not. The units extend beyond the narrow southern-rim analysis and cover only part of the box. Reported recharge is inferred from Bouguer-anomaly/rainfall modeling, not an ordinary area-averaged GRACE GWS slope. Do not extrapolate recovery to the whole Guarani system."
92,Guarani,Everton Pereira Bomfim,2007,10.1590/s0102-261x2007000400010,no-sign,Central Parana Basin and Torres Syncline (Guarani Aquifer System); Northern Guarani Aquifer (Guarani Aquifer System); Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),"The Guarani aquifer system, investigated using GRACE geoid/density inversion.","One-page published dissertation abstract. Whole-system feasibility study, not three independent regional verdicts. Listed polygons are the cohort representation of the Guarani system. No-sign, so excluded from directional risk."
95,High Plains,Di Long,2014,10.1002/2013wr014581,no-sign,Southern High Plains (High Plains); Central High Plains (High Plains); South-central High Plains (High Plains),"Three grouped river-basin regions in south-central USA, mainly Texas: eastern basins, central basins and Rio Grande in the west.","PDF pp. 3-4, section 2.1 and Table 1. These High Plains units provide partial overlap with the Texas/headwater regions, not the three drainage masks. Northern High Plains is not a substitute. Evapotranspiration/water-budget uncertainty study; no-sign, excluded from directional risk."
