paper_id,region,in_cohort,oa_id,file,doi,title,first_author,year,venue,citations,is_seed,grace_role,mission,paper_category,centre,release,filter,truncation,gia_model,c20,c30,geocenter,c20_c30,depletion_claim,regions_studied,n_quotes,n_quotes_verified,model,extraction_error,fulltext_reextract
1,amadeus,True,W3155824539,,10.3390/rs13081432,Two Severe Prolonged Hydrological Droughts Analysis over Mainland Australia Using GRACE Satellite Data,Wei Wang,2021,Remote Sensing,22,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,,,,,,unclear/unclear,,mainland Australia; Queensland; New South Wales; Victoria; Northern Territory; South Australia; Western Australia,3,3,deepseek-chat (full-text 2026 round2),,yes
2,arabian,True,W2061903993,,10.1002/2014wr015595,Global‐scale assessment of groundwater depletion and related groundwater abstractions: Combining hydrological modeling with information from well observations and GRACE satellites,Petra Döll,2014,Water Resources Research,808,no,processes-L2-SHM,GRACE,own-SHM,multiple,RL05,DDK3,"multiple: 60 (CSR), 90 (GFZ), 120 (ITG)",unclear,replaced,unstated,replaced,replaced/unclear,global GWD of 113 km3/yr during 2000–2009,High Plains Aquifer; Central Valley Aquifer; Western Volcanic Systems; Western Alluvial Basins; Deep Confined Bedrock Aquifers; Gulf Coastal Plain; Atlantic Coastal Plain; Mississippi Basin; Three-states region (Northern India); Tiwari study region; Jacob study region; Bangladesh; Irrigated Indus basin; North China Plain; Hai river basin; Saudi Arabia; Tigris-Euphrates-Western Iran (TEWI); Nubian Sandstone Aquifer System; North Western Sahara Aquifer System,5,4,deepseek-chat,,
3,arabian,True,W3205261621,,10.32604/cmc.2022.020495,Deep Learning Based Modeling of Groundwater Storage Change,Mohd Anul Haq,2021,"Computers, materials & continua/Computers, materials & continua (Print)",108,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06,mascon,,,,,,unclear/unclear,groundwater depletion rates of 18.17 km3/year,Saudi Arabia; five basins of Saudi Arabia,3,3,deepseek-chat (full-text 2026 round2),,yes
4,arabian,True,W2884079872,,10.1029/2018ms001304,Global Land Surface Modeling Including Lateral Groundwater Flow,Yujin Zeng,2018,Journal of Advances in Modeling Earth Systems,95,no,uses-published-TWS,GRACE,downstream-use,,,,,,,,,unclear/unclear,,global,0,0,deepseek-chat (full-text 2026 round2),,yes
5,arabian,True,W4205181608,,10.1007/s10040-021-02448-3,Quantification and possible causes of declining groundwater resources in the Euro-Mediterranean region from 2003 to 2020,Julian Xanke,2022,Hydrogeology Journal,80,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,,,,,,unclear/unclear,overall mean of the trends across the Euro-Mediterranean region is –2.1 mm/year,Euro-Mediterranean region; Europe; Northern Africa; Arabian Peninsula; Western Europe; Central and Eastern Europe; Southern Europe; Northern Europe,3,3,deepseek-chat (full-text 2026 round2),,yes
6,arabian,True,W2793939917,W2793939917,10.1007/s10712-017-9458-7,Use of Geophysical and Remote Sensing Data for Assessment of Aquifer Depletion and Related Land Deformation,Abdullah Othman,2018,Surveys in Geophysics,66,no,uses-mascon-product,GRACE,mascon,CSR,RL05,mascon,,,,,,unclear/unclear,groundwater storage depletion of -3.7 ± 0.6 km3/year over LMAS,Lower Mega Aquifer System (LMAS); Wadi As-Sirhan Basin (WASB),3,2,deepseek-chat (full-text 2026 round2),,yes
7,arabian,True,W3119370400,,10.3390/rs13020247,A Remote Sensing-Based Assessment of Water Resources in the Arabian Peninsula,Youssef Wehbe,2021,Remote Sensing,58,no,uses-published-TWS,GRACE,downstream-use,JPL,,,,,,,,unclear/unclear,"overall depletion of TWS over the entire AP, especially, the northern part",Arabian Peninsula; United Arab Emirates,1,0,deepseek-chat (full-text 2026 round2),,yes
8,arabian,True,W4313897858,,10.3390/w15020282,"Analysis of Groundwater Storage Fluctuations Using GRACE and Remote Sensing Data in Wadi As-Sirhan, Northern Saudi Arabia",Fahad Alshehri,2023,Water,53,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,RL06,mascon,,,,,,unclear/unclear,groundwater depletion rate of -13.81 ± 0.24 mm/yr,Wadi As-Sirhan,3,1,deepseek-chat (full-text 2026 round2),,yes
9,arabian,True,W2741778801,,10.1002/hyp.11285,Quantifying temporal variations in water resources of a vulnerable middle eastern transboundary aquifer system,Othman Fallatah,2017,Hydrological Processes,48,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G200,60,,,,,unclear/unclear,TWS depletion rate of -9.05 ± 0.25 mm/year (-4.84 ± 0.13 km3/year) and GWS depletion rate of -6.52 ± 0.29 mm/year (-3.49 ± 0.15 km3/year),Saq aquifer system,4,4,deepseek-chat (full-text 2026),,yes
10,arabian,True,W4226366629,,10.3389/feart.2022.873352,Application of Time-Variable Gravity to Groundwater Storage Fluctuations in Saudi Arabia,Ahmed Mohamed,2022,Frontiers in Earth Science,42,no,processes-L2-SHM,GRACE,own-SHM,multiple,RL05,G300+destripe,,Geruo_ICE5G_VM2,replaced,,Swenson 2008,replaced/unclear,groundwater depletion rate of -6.05 ± 0.34 mm/yr during Period II,Saudi Arabia; Saq aquifer,6,6,deepseek-chat (full-text 2026),,yes
