paper_id,doi,oa_id,first_author,year,citations,region,mission,win_start,win_end,n_months,source,exclude,exclude_reason,window_basis,confidence,quote,quote_verified,quote_page,llm_start,llm_end,curated_note,model,extract_error,notes
2,10.1002/2014wr015595,W2061903993,Petra Döll,2014,808,arabian,GRACE,2003-01,2009-12,84,llm,False,,explicit-years,high,The ensemble mean GRACE TWS trend during 2003–2009 (Figure 6a) can be compared to the filtered WaterGAP trend (variant IRR70_S) (Figure 5d).,True,14,2003-01,2009-12,,deepseek-chat,,"The paper states '2003–2009' for the GRACE TWS trend comparison, which is the period used for the headline storage trend."
9,10.1002/hyp.11285,W2741778801,Othman Fallatah,2017,48,arabian,GRACE,2002-04,2015-04,157,llm,False,,explicit-months,high,14 years of monthly (April 2002 to April 2015) GRACE were utilized,True,2,2002-04,2015-04,,deepseek-chat,,
10,10.3389/feart.2022.873352,W4226366629,Ahmed Mohamed,2022,42,arabian,GRACE,2002-04,2016-07,172,llm,False,,explicit-months,high,During the study period (April 2002 to July 2016),True,13,2002-04,2016-07,,deepseek-chat,,The paper explicitly states the GRACE data period as April 2002 to July 2016 in the conclusion and throughout the text.
18,10.3390/rs16081381,W4394815722,Hussein A. Mohasseb,2024,9,arabian,GRACE+GRACE-FO,2002-04,2023-06,255,llm,False,,explicit-months,high,"Spanning April 2002 to June 2023, this study predicts GWS trends over the next decade using the Seasonal Autoregressive Integrated Moving Average (SARIMA) model.",True,1,2002-04,2023-06,,deepseek-chat,,The paper explicitly states the GRACE data period as April 2002 to June 2023 in the abstract and throughout.
19,,W102949395,Gholamreza Joodaki,2014,7,arabian,GRACE,2003-02,2012-12,119,llm,False,,explicit-months,high,CSR GRACE level 2 release 05 data during February 2003 to December 2012,True,70,2003-02,2012-12,,deepseek-chat,,The headline groundwater trend for the Middle East is based on this period.
29,10.1029/2024wr039837,W4412420454,Yuhao Xiong,2025,1,arabian,GRACE+GRACE-FO,2002-04,2022-12,249,llm,False,,explicit-months,high,"The SH data used in this study comprise 216 monthly Release 6.1 (RL06.1) gravity solutions, spanning from 2002.04 to 2022.12",True,4,2002-04,2022-12,,deepseek-chat,,The paper explicitly states the GRACE/GFO data period as 2002.04 to 2022.12 for the SH solutions used in the analysis.
30,,W3102984332,Nureldin A. A. Gido,2020,0,arabian,GRACE,2002-08,2016-05,166,llm,False,,explicit-months,high,covering the period between August 2002 to May 2016,True,44,2002-08,2016-05,,deepseek-chat,,"The period is stated for Paper II, which is the only paper using GRACE data for permafrost study; other papers use different periods."
87,10.1029/2010jd014689,W1977248758,Jianli Chen,2010,115,guarani,GRACE,2002-04,2009-08,89,llm,False,,explicit-months,high,The 86 approximately monthly gravity solutions cover the period April 2002 through August 2009,True,3,2002-04,2009-08,,deepseek-chat,,
89,10.13168/agg.2016.0035,W2550561869,Annamária Kiss,2016,7,guarani,GRACE,2002-04,2008-01,70,llm,False,,explicit-months,high,the overlap period with the time span of 6 years of the tide gauge data is from April 2002 to January 2008,True,3,2002-04,2008-01,,deepseek-chat,,The paper explicitly states the GRACE data period used for the main analysis as April 2002 to January 2008.
90,10.5194/egusphere-2022-1032,W4311604965,Julia Pfeffer,2022,5,guarani,GRACE+GRACE-FO,2002-04,2016-12,177,llm,False,,explicit-months,high,The period of common availability for all datasets spans from April 2002 (first estimation of TWS changes with GRACE data) to December 2016 (latest estimation of TWS changes with WGHM data).,True,6,2002-04,2016-12,,deepseek-chat,,The paper explicitly states the GRACE data period as April 2002 to December 2016 for the main analysis.
91,10.1590/2317-4889202120200079,W3161990299,Vanessa da Conceição Osório,2021,3,guarani,GRACE,2013-01,2015-12,36,llm,False,,explicit-months,high,Twenty-six monthly solutions covering the period from January 2013 to December 2015 were obtained herein.,True,2,2013-01,2015-12,,deepseek-chat,,
92,10.1590/s0102-261x2007000400010,W2075860953,Everton Pereira Bomfim,2007,0,guarani,GRACE,2002-04,2004-07,28,llm,False,,explicit-months,high,abril/2002 a novembro/2003 e l = m = 150 (fevereiro/2003 a julho/2004),True,1,2002-04,2004-07,,deepseek-chat,,The paper uses two overlapping GRACE data periods; the combined span from earliest start to latest end is April 2002 to July 2004.
93,,W2252422502,Simon Munier,2012,17,guarani;canning,GRACE,2003-01,2009-12,84,llm,False,,explicit-years,high,Here we combine 7 years (2003-2009) of data from the Gravity Recovery and Climate Experiment (GRACE) satellite mission,True,2,2003-01,2009-12,,deepseek-chat,,"The paper also states 'January 2003 to December 2009' in section 1, confirming the months."
95,10.1002/2013wr014581,W2091232816,Di Long,2014,577,high_plains,GRACE,2003-01,2012-09,117,llm,False,,explicit-months,high,GRACE satellite data from CSR and GRGS analysis centers were used to derive TWSA and TWSC at a monthly scale from January 2003 to September 2012 for the three regions.,True,5,2003-01,2012-09,,deepseek-chat,,
96,10.1002/grl.50655,W1731032083,Di Long,2013,394,high_plains,GRACE,2003-01,2012-09,117,llm,False,,figure-axis,high,GRACE data from January 2003 to September 2012,False,,2003-01,2012-09,,deepseek-chat,,"The period is consistently shown in figure axes (e.g., Figures 2 and 3) and referenced in the text as 'January 2003 to September 2012'."
97,10.1029/2009wr008564,W1937808031,Laurent Longuevergne,2010,345,high_plains,GRACE,2003-01,2007-12,60,curated,False,,not-stated,high,,False,,,,Longuevergne et al. 2010 WRR (audit: no explicit dates; figures show 2003-2007).,deepseek-chat,,The paper does not specify the temporal span of GRACE data used in the analysis.
99,10.1016/s0022-1694(02)00060-4,W1978536336,Matthew Rodell,2002,291,high_plains,GRACE,2002-04,2002-12,9,fallback,True,"Rodell & Famiglietti 2002 (audit: pre-GRACE feasibility study, uses no GRACE data).",not-stated,high,,False,,,,"fallback: 2002-04 -> Dec(pub year), capped at mission end",deepseek-chat,,"The paper is from 2002, before GRACE data were available; it discusses potential future use of GRACE."
100,10.1029/2007gl030139,W2061770662,Gil Strassberg,2007,230,high_plains,GRACE,2003-01,2005-12,36,llm,False,,explicit-months,high,A total of 30 approximately-monthly TWS measurements between January 2003 and December 2005 were used in the analysis,True,2,2003-01,2005-12,,deepseek-chat,,
101,10.1029/2008wr006892,W2126909543,Gil Strassberg,2009,219,high_plains,GRACE,2003-01,2006-12,48,llm,False,,explicit-months,high,"We have modified the method of Swenson and Wahr [2002] in this application, by using full month-to-month variations in modeled water storage anomalies from the Global Land Data Assimilation System (GLDAS)/Noah hydrologic model [Rodell et al., 2004a] for January 2003 until December 2006 to derive the optimal kernel.",True,4,2003-01,2006-12,,deepseek-chat,,"The paper uses GRACE data from January 2003 to December 2006, as stated in the methods section."
107,10.1029/2010gl043231,W1543805450,Alexander Y. Sun,2010,75,high_plains,GRACE,2002-08,2007-12,65,llm,False,,explicit-months,high,The monthly DTWS was obtained for the study area for the period from August 2002 to December 2007.,True,3,2002-08,2007-12,,deepseek-chat,,
108,10.3390/environments6060063,W2948053842,Md. Mafuzur Rahaman,2019,66,high_plains,GRACE,2009-01,2016-12,96,llm,False,,explicit-years,high,"GRACE Release 05 products were collected from three different sources, namely, the Jet Propulsion Laboratory (JPL), the Center for Space Research (CSR), and Geo Forschungs Zentrum Potsdam (GFZ), from 2009 to 2016",True,4,2009-01,2016-12,,deepseek-chat,,"The paper states 'from 2009 to 2016' for GRACE data collection; months are not specified, so start month is January and end month is December."
114,10.1016/j.geog.2021.10.003,W3212212952,Hansheng Wang,2021,26,high_plains,GRACE,2002-04,2017-06,183,llm,False,,explicit-months,high,over the whole GRACE mission lifetime from April 2002 to June 2017,True,1,2002-04,2017-06,,deepseek-chat,,The paper repeatedly states this period for the GRACE data used.
121,10.1111/1752-1688.12798,W2971369349,Yongjun Zhang,2019,4,high_plains,GRACE,2003-01,2015-12,156,llm,False,,explicit-months,high,a total of 145 monthly (approximately) TWS measurements taken between January 2003 and December 2015 are included in the raw datasets,True,3,2003-01,2015-12,,deepseek-chat,,
131,10.1038/nature08238,W2000674771,Matthew Rodell,2009,2845,igp,GRACE,2002-08,2008-10,75,curated,False,,explicit-months,high,During our study period of August 2002 to October 2008,True,1,2002-08,2008-10,Rodell et al. 2009 Nature: Aug 2002 - Oct 2008 (verified quote).,deepseek-chat,,The paper explicitly states the GRACE data period in the main text.
133,10.1029/2009gl039401,W1971918252,V. M. Tiwari,2009,817,igp,GRACE,2002-04,2008-06,75,curated,False,,explicit-months,high,"We use coefficients truncated to maximum degree 60, computed by the Center for Space Research at the University of Texas for April 2002 to June 2008",True,1,2002-04,2008-06,"Tiwari et al. 2009 GRL: Apr 2002 - Jun 2008 (audit: paper says June 2008, not Aug).",deepseek-chat,,
134,10.1002/2014wr015595,W2061903993,Petra Döll,2014,808,igp,GRACE,2003-01,2009-12,84,llm,False,,explicit-years,high,The ensemble mean GRACE TWS trend during 2003–2009 (Figure 6a) can be compared to the filtered WaterGAP trend (variant IRR70_S) (Figure 5d).,True,14,2003-01,2009-12,,deepseek-chat,,"The paper states '2003–2009' for the GRACE TWS trend comparison, which is the period used for the headline storage trend."
135,10.1038/ngeo2869,W2568836777,Akarsh Asoka,2017,524,igp,GRACE,2002-04,2013-12,141,llm,False,,explicit-years,high,We estimated groundwater storage anomalies from GRACE for 2002–2013,False,,2002-04,2013-12,,deepseek-chat,,"The paper consistently states the GRACE data period as 2002–2013, with years only."
137,10.1038/srep24398,W2338161951,Di Long,2016,277,igp,GRACE,2003-01,2010-12,96,llm,False,,explicit-months,high,For the period Jan 2003 through Dec 2010,True,7,2003-01,2010-12,,deepseek-chat,,The paper's headline GWD rate from forward modeling is for Jan 2003–Dec 2010.
138,10.1016/j.gloplacha.2014.02.007,W1981130750,Jianli Chen,2014,270,igp,GRACE,2003-01,2012-12,120,llm,False,,explicit-months,high,The GRACE gravity solutions used in this study cover a 10 year period from January 2003 to December 2012.,True,2,2003-01,2012-12,,deepseek-chat,,
139,10.1029/2011wr010993,W1646523040,Mohammad Shamsudduha,2012,241,igp,GRACE,2003-01,2007-12,60,llm,False,,explicit-months,high,over the period of January 2003 to December 2007,True,3,2003-01,2007-12,,deepseek-chat,,The period is explicitly stated in the abstract and methods.
142,10.1016/j.jhydrol.2016.10.042,W2548901601,Soumendra N. Bhanja,2016,192,igp,GRACE,2005-01,2013-12,108,llm,False,,explicit-months,high,"Monthly mean liquid water equivalent thickness, 1° × 1° gridded data files were retrieved from National Aeronautics and Space Administration’s (NASA) Jet Propulsion Laboratory (JPL) archive for 101 months (between January 2005 and December 2013).",False,,2005-01,2013-12,,deepseek-chat,,The paper explicitly states the GRACE data period as January 2005 to December 2013 for both SH and mascon products.
144,10.1175/jhm-d-16-0047.1,W2557321466,Debanjan Sinha,2016,128,igp,GRACE,2002-04,2015-04,157,llm,False,,explicit-months,high,We use 157 monthly estimates of water storage variations extending from April 2002 to April 2015.,True,4,2002-04,2015-04,,deepseek-chat,,
146,10.1016/j.gsd.2020.100376,W3010984228,Tandrila Sarkar,2020,118,igp,GRACE,2003-01,2016-12,168,llm,False,,explicit-months,high,"In this study the groundwater storage change was determined by using RL05 land data product (January, 2003 to December, 2016) which was accessed from the Gravity Recovery and Climate Experiment (GRACE) satellite.",True,1,2003-01,2016-12,,deepseek-chat,,
148,10.1002/2015wr018113,W2291436080,Khandu,2016,101,igp,GRACE,2002-08,2014-09,146,llm,False,,explicit-months,high,covering the period August 2002 to September 2014,True,4,2002-08,2014-09,,deepseek-chat,,The paper explicitly states the GRACE data period in section 3.2.
149,10.1016/j.scitotenv.2022.156044,W4280509258,Arfan Arshad,2022,90,igp,GRACE+GRACE-FO,2002-04,2019-12,213,llm,False,,explicit-years,high,We used monthly GRACE-based TWS of spherical harmonic solution (JPL-SH) available at 1° × 1° resolution from 2002 to 2019,True,4,2002-04,2019-12,,deepseek-chat,,"The paper states 'from 2002 to 2019' for GRACE data, which is interpreted as full years."
152,10.5194/hess-21-3041-2017,W2630636919,Beas Barik,2017,80,igp,GRACE,2002-04,2014-03,144,llm,False,,explicit-months,high,"In this study, monthly land mass anomalies of 1° spatial resolution, release 05 level-3 data, from the CSR (Centre for Space Research, University of Texas at Austin, US) from April 2002 to March 2014, have been used.",False,,2002-04,2014-03,,deepseek-chat,,The paper explicitly states the GRACE data period as April 2002 to March 2014 in the data section.
153,10.1016/j.gloplacha.2015.09.007,W1834701122,Aarti Soni,2015,71,igp,GRACE,2003-01,2012-12,120,llm,False,,explicit-years,high,"Here we use 115 consecutive months (2003–2012) of GRACE data, with the exception of June 2003, January 2011, June 2011, May 2012 and October 2012.",True,3,2003-01,2012-12,,deepseek-chat,,"The paper states the period as 2003–2012, which is interpreted as January 2003 to December 2012."
154,10.1016/j.jhydrol.2021.126069,W3130269368,Abhishek Abhishek,2021,64,igp,GRACE,2002-07,2017-06,180,llm,False,,explicit-months,high,We used monthly gravity anomaly data from the GRACE mission from July 2002 to June 2017,True,2,2002-07,2017-06,,deepseek-chat,,
160,10.1080/02626667.2020.1716238,W2999867583,Soumendra N. Bhanja,2020,51,igp,GRACE,2003-01,2014-12,144,llm,False,,explicit-years,high,Gridded (1º × 1º) data files for 133 months were retrieved for the period 2003–2014.,True,4,2003-01,2014-12,,deepseek-chat,,"The paper states the GRACE data period as 2003–2014, which is used for the main analysis."
163,10.1016/j.gsd.2021.100559,W3127467826,Anuradha Karunakalage,2021,42,igp,GRACE+GRACE-FO,2003-01,2019-12,204,llm,False,,explicit-years,high,A set of post monsoonal data from 2003 to 2019 is taken for this research,True,1,2003-01,2019-12,,deepseek-chat,,The paper states '2003 to 2019' for the GRACE data period used in the analysis.
